Band,Range,Description,PartNo,MSRP List Price,Standard Channel SKU,Unnamed: 6
E,5001-10000,Tlx Adv EP Sec w/ Frnsics(SG) 2W 1:1TE,TRXHX2WSGE-AA,Call For Quote,TRXHX2WSGE-AA-EA,
F,10001-+,Tlx Adv EP Sec w/ Frnsics(SG) 2W 1:1TE,TRXHX2WSGE-AA,Call For Quote,TRXHX2WSGE-AA-FA,
,Subscription Offering - 1 Way,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,100-250,Tlx Adv EP Sec w/ Frnsics(SG) 1W 1:1TE,TRXHX1WSGE-AA,Call For Quote,TRXHX1WSGE-AA-AA,
B,251-1000,Tlx Adv EP Sec w/ Frnsics(SG) 1W 1:1TE,TRXHX1WSGE-AA,Call For Quote,TRXHX1WSGE-AA-BA,
C,1001-2000,Tlx Adv EP Sec w/ Frnsics(SG) 1W 1:1TE,TRXHX1WSGE-AA,Call For Quote,TRXHX1WSGE-AA-CA,
D,2001-5000,Tlx Adv EP Sec w/ Frnsics(SG) 1W 1:1TE,TRXHX1WSGE-AA,Call For Quote,TRXHX1WSGE-AA-DA,
E,5001-10000,Tlx Adv EP Sec w/ Frnsics(SG) 1W 1:1TE,TRXHX1WSGE-AA,Call For Quote,TRXHX1WSGE-AA-EA,
F,10001-+,Tlx Adv EP Sec w/ Frnsics(SG) 1W 1:1TE,TRXHX1WSGE-AA,Call For Quote,TRXHX1WSGE-AA-FA,
,Subscription Offering - Offline,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,100-250,Tlx Adv EP Sec w/ Frnsics(SG) OF 1:1TE,TRXHXOFSGE-AA,Call For Quote,TRXHXOFSGE-AA-AA,
B,251-1000,Tlx Adv EP Sec w/ Frnsics(SG) OF 1:1TE,TRXHXOFSGE-AA,Call For Quote,TRXHXOFSGE-AA-BA,
C,1001-2000,Tlx Adv EP Sec w/ Frnsics(SG) OF 1:1TE,TRXHXOFSGE-AA,Call For Quote,TRXHXOFSGE-AA-CA,
D,2001-5000,Tlx Adv EP Sec w/ Frnsics(SG) OF 1:1TE,TRXHXOFSGE-AA,Call For Quote,TRXHXOFSGE-AA-DA,
