Band,Range,Description,PartNo,MSRP List Price,Standard Channel SKU,Unnamed: 6
UCEB,"Skyhigh SSE Essential
LICENSE: Per User.
DELIVERABLE: Activation via email.
PRODUCT CONTENT:  CASB Shadow, SWG Cloud Service as integrated services and Skyhigh SWG Software, Remote Browser Isolation for risky sites, Cloud DLP, Gateway Anti-Malware. In addition it includes access to Client Proxy and Content Security Reporter via ePO (On-Prem) and Hybrid configuration.
Post Q1, 2024, SWG Software license contractually restricts its use on Virtual Machines in a production environment. This license can only be used in a test or development environment - (upto 5 MAX VMs with a max core of 4 CPUs per instance). For production usage on Virtual machines, SWG Software subscription license (Skyhigh SWG Software VM Deployment Extension - Subscription) to be purchased in addition to SWG Software License (WSG-S, MVW, MVW-ADV, UCEB, UCEA,UCEC, UCEB-U1, UCEB-U2, UCEB-U3, UCEA-U, UCEA-U1)",,,,,
,Subscription Offering,,,,,
,1yr Subscription with 1yr Business Software Support,,,,,
A,5-250,Skyhigh SSE Essentials 1:1BZ,UCBECE-AA,119.8,UCBECE-AA-AA,
B,251-1000,Skyhigh SSE Essentials 1:1BZ,UCBECE-AA,106.96,UCBECE-AA-BA,
C,1001-2000,Skyhigh SSE Essentials 1:1BZ,UCBECE-AA,97.24,UCBECE-AA-CA,
D,2001-5000,Skyhigh SSE Essentials 1:1BZ,UCBECE-AA,90.88,UCBECE-AA-DA,
E,5001-10000,Skyhigh SSE Essentials 1:1BZ,UCBECE-AA,85.74,UCBECE-AA-EA,
F,10001-+,Skyhigh SSE Essentials 1:1BZ,UCBECE-AA,83.24,UCBECE-AA-FA,
UCEB-U1,"Skyhigh SSE - Shadow IT Upgrade
LICENSE: Per User.
DELIVERABLE: Activation via email.
PRODUCT CONTENT:  Shadow customers (Skyhigh CASB for Shadow IT) should use this SKU to upgrade to SSE Essentials
REQUIREMENTS: This Upgrade SKU/pricing can only be used for existing Shadow IT customers for the remainder of an existing active Subscription Term.  MUST be co-termed to their existing Subscription Term/Grant being upgraded mid-term.  Refer to Standard SKU/pricing for customers buying SSE Essentials instead of renewing an expiring subscription. Please refer to the Product Requirements for additional information",,,,,
,Upgrade Subscription Offering,,,,,
,1yr Subscription with 1yr Business Software Support,,,,,
A,5-250,Skyhigh SSE - Shadow IT UPG 1:1BZ,UB1ECE-DA,62.33,UB1ECE-DA-AA,
B,251-1000,Skyhigh SSE - Shadow IT UPG 1:1BZ,UB1ECE-DA,54.84,UB1ECE-DA-BA,
C,1001-2000,Skyhigh SSE - Shadow IT UPG 1:1BZ,UB1ECE-DA,49.35,UB1ECE-DA-CA,
D,2001-5000,Skyhigh SSE - Shadow IT UPG 1:1BZ,UB1ECE-DA,45.88,UB1ECE-DA-DA,
E,5001-10000,Skyhigh SSE - Shadow IT UPG 1:1BZ,UB1ECE-DA,43.16,UB1ECE-DA-EA,
F,10001-+,Skyhigh SSE - Shadow IT UPG 1:1BZ,UB1ECE-DA,41.86,UB1ECE-DA-FA,
UCEB-U2,"Skyhigh SSE - Web Hybrid Upgrade
LICENSE: Per User.
DELIVERABLE: Activation via email.
PRODUCT CONTENT:  Web Hybrid customers (Web Protection Suite) should use this SKU to upgrade from WPS to SSE Essentials
REQUIREMENTS: This Upgrade SKU/pricing can only be used for existing WPS customers for the remainder of an existing active Subscription Term.  MUST be co-termed to their existing Subscription Term/Grant being upgraded mid-term.  Refer to Standard SKU/pricing for customers buying SSE Essentials instead of renewing an expiring subscription. Please refer to the Product Requirements for additional information",,,,,
,Upgrade Subscription Offering,,,,,
,1yr Subscription with 1yr Business Software Support,,,,,
A,5-250,Skyhigh SSE - Web Hybrid UPG 1:1BZ,UB2ECE-DA,34.45,UB2ECE-DA-AA,
B,251-1000,Skyhigh SSE - Web Hybrid UPG 1:1BZ,UB2ECE-DA,30.33,UB2ECE-DA-BA,
C,1001-2000,Skyhigh SSE - Web Hybrid UPG 1:1BZ,UB2ECE-DA,27.29,UB2ECE-DA-CA,
D,2001-5000,Skyhigh SSE - Web Hybrid UPG 1:1BZ,UB2ECE-DA,25.37,UB2ECE-DA-DA,
