Band,Range,Description,PartNo,MSRP List Price,Standard Channel SKU,Unnamed: 6
,,,,,OXDRCS-3YR-100GB-ADDON-JP,Helix Connect 3 Year Cold Storage - 100 GB (Tokyo Data Center)
,,,,,OXDRCS-3YR-250GB-ADDON-JP,Helix Connect 3 Year Cold Storage - 250 GB (Tokyo Data Center)
,,,,,OXDRCS-3YR-1TB-ADDON-JP,Helix Connect 3 Year Cold Storage - 1 TB (Tokyo Data Center)
,,,,,XDRQS8-50GB-ADDON-JP,Helix Connect 8 Day Index Search Retention - 50 GB (Tokyo Data Center)
,,,,,XDRQS8-100GB-ADDON-JP,Helix Connect 8 Day Index Search Retention - 100 GB (Tokyo Data Center)
,,,,,XDRQS8-250GB-ADDON-JP,Helix Connect 8 Day Index Search Retention - 250 GB (Tokyo Data Center)
,,,,,XDRQS8-1TB-ADDON-JP,Helix Connect 8 Day Index Search Retention - 1 TB (Tokyo Data Center)
,,,,,XDRQS16-50GB-ADDON-JP,Helix Connect 16 Day Index Search Retention - 50 GB (Tokyo Data Center)
,,,,,XDRQS16-100GB-ADDON-JP,Helix Connect 16 Day Index Search Retention - 100 GB (Tokyo Data Center)
,,,,,XDRQS16-250GB-ADDON-JP,Helix Connect 16 Day Index Search Retention - 250 GB (Tokyo Data Center)
,,,,,XDRQS16-1TB-ADDON-JP,Helix Connect 16 Day Index Search Retention - 1 TB (Tokyo Data Center)
,,,,,,Protection (SaaS & On-Premise)
,,,,,MV1-AU,Trellix Protect Standard (Australia Data Center)
,,,,,MV1U-AU,Trellix Protect Standard - Upgrade (Australia Data Center)
,,,,,MV2-AU,Trellix Protect Plus (Australia Data Center)
,,,,,MV2U-AU,Trellix Protect Plus - Upgrade (Australia Data Center)
,,,,,,File & Application Control
,,,,,ACD-S-AU,Trellix Application Control for PCs - Subscription (Australia Data Center)
,,,,,,Endpoint Cloud Deploy Options
,,,,,HXCL-AU-T,HX Cloud Hosting Endpoint - Large (Australia Data Center)(T)
,,,,,HXCL-JP-T,HX Cloud Hosting Endpoint - Large (Tokyo Data Center)(T)
,,,,,HXCM-AU-T,HX Cloud Hosting Endpoint - Medium (Australia Data Center)(T)
,,,,,HXCM-JP-T,HX Cloud Hosting Endpoint - Medium (Tokyo Data Center)(T)
,,,,,HXGCL-AU-T,HX Cloud Hosting Endpoint - GCP - Large (Australia Data Center)(T)
,,,,,HXGCM-AU-T,HX Cloud Hosting Endpoint - GCP - Medium (Australia Data Center)(T)
,,,,,HXGCL-JP-T,HX Cloud Hosting Endpoint - GCP - Large (Tokyo Data Center)(T)
,,,,,HXGCM-JP-T,HX Cloud Hosting Endpoint - GCP - Medium (Tokyo Data Center)(T)
,,,,,,Cloud Workload Security EDR
,,,,,CWSDR-AU,Trellix Cloud Workload Security Detect and Respond (Australia Data Center)
,,,,,CWSDRU-AU,Trellix Cloud Workload Security Detect and Respond - Upgrade (Australia Data Center)
Trellix JP_ AU Data Centers,,,,,,
,Email Security,,,,,
EMCL-JP,"Email Security Cloud Edition (Tokyo Data Center)
LICENSE: Per User
DELIVERABLE: SaaS with activation email
CONTENT: Email Cloud without AntiVirus/AntiSpam functionality.
MANAGEMENT: Email Cloud has its own console
NOTE:  Trellix-M IAM hosted only",,,,,
,Subscription Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,100-250,Email Sec Cld Ed (JP) 1:1TE,EMCLJPE-AA,107.87,EMCLJPE-AAAA,
B,251-1000,Email Sec Cld Ed (JP) 1:1TE,EMCLJPE-AA,76.41,EMCLJPE-AABA,
C,1001-2000,Email Sec Cld Ed (JP) 1:1TE,EMCLJPE-AA,62.93,EMCLJPE-AACA,
D,2001-5000,Email Sec Cld Ed (JP) 1:1TE,EMCLJPE-AA,58.43,EMCLJPE-AADA,
E,5001-10000,Email Sec Cld Ed (JP) 1:1TE,EMCLJPE-AA,56.18,EMCLJPE-AAEA,
F,10001-+,Email Sec Cld Ed (JP) 1:1TE,EMCLJPE-AA,47.19,EMCLJPE-AAFA,
EMCA-JP,"Email Security Cloud AntiVirus/AntiSpam Edition (Tokyo Data Center)
LICENSE: Per User
DELIVERABLE: SaaS with activation email
CONTENT: Email Cloud including AntiVirus/AntiSpam functionality.
MANAGEMENT: Email Cloud has its own console
NOTE:  Trellix-M IAM hosted only",,,,,
,Subscription Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,100-250,Email Sec Cld AVAS Ed (JP) 1:1TE,EMCAJPE-AA,158.6,EMCAJPE-AAAA,
B,251-1000,Email Sec Cld AVAS Ed (JP) 1:1TE,EMCAJPE-AA,112.33,EMCAJPE-AABA,
C,1001-2000,Email Sec Cld AVAS Ed (JP) 1:1TE,EMCAJPE-AA,92.5,EMCAJPE-AACA,
D,2001-5000,Email Sec Cld AVAS Ed (JP) 1:1TE,EMCAJPE-AA,73.04,EMCAJPE-AADA,
E,5001-10000,Email Sec Cld AVAS Ed (JP) 1:1TE,EMCAJPE-AA,70.25,EMCAJPE-AAEA,
F,10001-+,Email Sec Cld AVAS Ed (JP) 1:1TE,EMCAJPE-AA,58.99,EMCAJPE-AAFA,
EMCAU-JP,"Email Security Cloud AntiVirus/AntiSpam Edition - Upgrade (Tokyo Data Center)
LICENSE: Per User
DELIVERABLE: SaaS with activation email
CONTENT: Email Cloud including AntiVirus/AntiSpam functionality.
MANAGEMENT: Email Cloud has its own console
NOTE:  Trellix-M IAM hosted only",,,,,
,Subscription Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,100-250,Email Sec Cld AVAS Ed (JP) UP 1:1TE,EMCAJPE-DA,158.6,EMCAJPE-DAAA,
B,251-1000,Email Sec Cld AVAS Ed (JP) UP 1:1TE,EMCAJPE-DA,112.33,EMCAJPE-DABA,
C,1001-2000,Email Sec Cld AVAS Ed (JP) UP 1:1TE,EMCAJPE-DA,92.5,EMCAJPE-DACA,
D,2001-5000,Email Sec Cld AVAS Ed (JP) UP 1:1TE,EMCAJPE-DA,73.04,EMCAJPE-DADA,
E,5001-10000,Email Sec Cld AVAS Ed (JP) UP 1:1TE,EMCAJPE-DA,70.25,EMCAJPE-DAEA,
F,10001-+,Email Sec Cld AVAS Ed (JP) UP 1:1TE,EMCAJPE-DA,58.99,EMCAJPE-DAFA,
TPS-JP,"Trellix Phishing Simulator (Tokyo Data Center)
LICENSE: Per User
DELIVERABLE: SaaS with Email Security Cloud or Email Security Cloud AntiVirus/AntiSpam
CONTENT: Trellix Phishing Simulator add-on for Email Security Cloud (EMCL) or Email Security Cloud AntiVirus/AntiSpam (EMCA). The datacenter for this SKU will match the customer’s Email Security Cloud instance.
MANAGEMENT: From within Email Security Cloud console
RESTRICTIONS: Order Quantity must match base Email Security Cloud or Email Security Cloud AntiVirus/AntiSpam SKU
NOTE:  Trellix-M IAM hosted only
REQUIREMENTS: Add-on Feature for customers with EMCL-JP Email Securty Cloud Edition or EMCA-JP Email Security Cloud Antivirus/AntiSpam.
NOTE: EMCLVX Email Security for Office 365 already includes this feature in its bundle.",,,,,
,Add On Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,100-250,Trellix Phishing Sim (JP) 1:1TE,TPSJPE-AA,33.36,TPSJPE-AA-AA,FCS Date 05/07/2025
B,251-1000,Trellix Phishing Sim (JP) 1:1TE,TPSJPE-AA,28.35,TPSJPE-AA-BA,FCS Date 05/07/2025
C,1001-2000,Trellix Phishing Sim (JP) 1:1TE,TPSJPE-AA,24.11,TPSJPE-AA-CA,FCS Date 05/07/2025
D,2001-5000,Trellix Phishing Sim (JP) 1:1TE,TPSJPE-AA,21.68,TPSJPE-AA-DA,FCS Date 05/07/2025
E,5001-10000,Trellix Phishing Sim (JP) 1:1TE,TPSJPE-AA,19.52,TPSJPE-AA-EA,FCS Date 05/07/2025
F,10001-+,Trellix Phishing Sim (JP) 1:1TE,TPSJPE-AA,17.57,TPSJPE-AA-FA,FCS Date 05/07/2025
