Band,Range,Description,PartNo,MSRP List Price,Standard Channel SKU,Unnamed: 6
IVX-DE-BP,IVX Enterprise Cloud -Banded Submission Pack (Germany Data Center),,,,MV3-DE,Trellix Mobile Security Advanced (Germany Data Center)
,Device to Cloud Defense (SaaS Only),,,,VPC-DE,Trellix Mobile Security Advanced - Public Cloud VPC (European Data Center)
MVA-DE,Trellix Advanced (Germany Data Center),,,,SS1-DE,Trellix Secure Schools Protect Standard - (Germany Data Center)
MVAU-DE,Trellix Advanced - Upgrade (Germany Data Center),,,,SS2-DE,Trellix Secure Schools Protect Plus (Germany Data Center)
MVP-DE,Trellix Premium (Germany Data Center),,,,SS3-DE,Trellix Secure Schools Protect Standard with EDR for Endpoint (Germany Data Center)
MVPU-DE,Trellix Premium - Upgrade (Germany Data Center),,,,,File & Application Control
,Protection and EDR (SaaS & On-Premise),,,,ACD-S-DE,Trellix Application Control for PCs - Subscription (Germany Data Center)
TRXHX-DE,Trellix Advanced Endpoint Security with Forensics (Germany Data Center),,,,,Endpoint Cloud Deploy Options
TRXHXU-DE,Trellix Advanced Endpoint Security with Forensics - Upgrade (Germany Data Center),,,,HXCL-DE-T,HX Cloud Hosting Endpoint - Large (Germany Data Center)(T)
TRXE1-DE,Trellix Endpoint Security Suite (Germany Data Center),,,,HXCM-DE-T,HX Cloud Hosting Endpoint - Medium (Germany Data Center)(T)
TRXE1U-DE,Trellix Endpoint Security Suite - Upgrade (Germany Data Center),,,,HXGCL-DE-T,HX Cloud Hosting Endpoint - GCP - Large (Germany Data Center)(T)
SS4-DE,Trellix Secure Schools Endpoint Security Suite  (Germany Data Center),,,,HXGCM-DE-T,HX Cloud Hosting Endpoint - GCP - Medium (Germany Data Center)(T)
SS4U-DE,Trellix Secure Schools Endpoint Security Suite - UPGRADE  (Germany Data Center),,,,,Cloud Workload Security EDR
MV6-DE,Trellix Protect Plus EDR for Endpoint (Germany Data Center),,,,CWSDR-DE,Trellix Cloud Workload Security Detect and Respond (Germany Data Center)
MV6U-DE,Trellix Protect Plus EDR for Endpoint - Upgrade (Germany Data Center),,,,CWSDRU-DE,Trellix Cloud Workload Security Detect and Respond - Upgrade (Germany Data Center)
EDREX-DE,Trellix EDR Data Extension Add-on (Germany Data Center),,,,,
EDREX180-DE,Trellix EDR Data Extension Add-on 180 Days (Germany Data Center),,,,,
EDREX180-U-DE,Trellix EDR Data Extension Add-on 180 Days - Upgarde (Germany Data Center),,,,,
EDR-WISE-DE,Trellix Wise for EDR Add-on (Germany Data Center),,,,,
Trellix EU_DE Data Center,,,,,,
,Email Security,,,,,
EMCL-EU,"Email Security Cloud Edition (European Data Center)
LICENSE: Per User
DELIVERABLE: SaaS with activation email
CONTENT: Email Cloud without AntiVirus/AntiSpam functionality.
MANAGEMENT: Email Cloud has its own console
NOTE:  Trellix-M IAM hosted only",,,,,
,Subscription Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,100-250,Email Sec Cld Ed (EU) 1:1TE,EMCLEUE-AA,107.87,EMCLEUE-AAAA,
B,251-1000,Email Sec Cld Ed (EU) 1:1TE,EMCLEUE-AA,76.41,EMCLEUE-AABA,
C,1001-2000,Email Sec Cld Ed (EU) 1:1TE,EMCLEUE-AA,62.93,EMCLEUE-AACA,
D,2001-5000,Email Sec Cld Ed (EU) 1:1TE,EMCLEUE-AA,58.43,EMCLEUE-AADA,
E,5001-10000,Email Sec Cld Ed (EU) 1:1TE,EMCLEUE-AA,56.18,EMCLEUE-AAEA,
F,10001-+,Email Sec Cld Ed (EU) 1:1TE,EMCLEUE-AA,47.19,EMCLEUE-AAFA,
EMCA-EU,"Email Security Cloud AntiVirus/AntiSpam Edition (European Data Center)
LICENSE: Per User
DELIVERABLE: SaaS with activation email
CONTENT: Email Cloud including AntiVirus/AntiSpam functionality.
MANAGEMENT: Email Cloud has its own console
NOTE:  Trellix-M IAM hosted only",,,,,
,Subscription Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,100-250,Email Sec Cld AVAS Ed (EU) 1:1TE,EMCAEUE-AA,158.6,EMCAEUE-AAAA,
B,251-1000,Email Sec Cld AVAS Ed (EU) 1:1TE,EMCAEUE-AA,112.33,EMCAEUE-AABA,
C,1001-2000,Email Sec Cld AVAS Ed (EU) 1:1TE,EMCAEUE-AA,92.5,EMCAEUE-AACA,
D,2001-5000,Email Sec Cld AVAS Ed (EU) 1:1TE,EMCAEUE-AA,73.04,EMCAEUE-AADA,
E,5001-10000,Email Sec Cld AVAS Ed (EU) 1:1TE,EMCAEUE-AA,70.25,EMCAEUE-AAEA,
F,10001-+,Email Sec Cld AVAS Ed (EU) 1:1TE,EMCAEUE-AA,58.99,EMCAEUE-AAFA,
EMCAU-EU,"Email Security Cloud AntiVirus/AntiSpam Edition - Upgrade (European Data Center)
LICENSE: Per User
DELIVERABLE: SaaS with activation email
CONTENT: Email Cloud including AntiVirus/AntiSpam functionality.
MANAGEMENT: Email Cloud has its own console
NOTE:  Trellix-M IAM hosted only",,,,,
,Subscription Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,100-250,Email Sec Cld AVAS Ed (EU) UP 1:1TE,EMCAEUE-DA,158.6,EMCAEUE-DAAA,
B,251-1000,Email Sec Cld AVAS Ed (EU) UP 1:1TE,EMCAEUE-DA,112.33,EMCAEUE-DABA,
C,1001-2000,Email Sec Cld AVAS Ed (EU) UP 1:1TE,EMCAEUE-DA,92.5,EMCAEUE-DACA,
D,2001-5000,Email Sec Cld AVAS Ed (EU) UP 1:1TE,EMCAEUE-DA,73.04,EMCAEUE-DADA,
E,5001-10000,Email Sec Cld AVAS Ed (EU) UP 1:1TE,EMCAEUE-DA,70.25,EMCAEUE-DAEA,
F,10001-+,Email Sec Cld AVAS Ed (EU) UP 1:1TE,EMCAEUE-DA,58.99,EMCAEUE-DAFA,
TPS-EU,"Trellix Phishing Simulator (European Data Center)
LICENSE: Per User
DELIVERABLE: SaaS with Email Security Cloud or Email Security Cloud AntiVirus/AntiSpam
CONTENT: Trellix Phishing Simulator add-on for Email Security Cloud (EMCL) or Email Security Cloud AntiVirus/AntiSpam (EMCA). The datacenter for this SKU will match the customer’s Email Security Cloud instance.
MANAGEMENT: From within Email Security Cloud console
RESTRICTIONS: Order Quantity must match base Email Security Cloud or Email Security Cloud AntiVirus/AntiSpam SKU
NOTE:  Trellix-M IAM hosted only
REQUIREMENTS: Add-on Feature for customers with EMCL-EU Email Securty Cloud Edition or EMCA-EU Email Security Cloud Antivirus/AntiSpam.
NOTE: EMCLVX Email Security for Office 365 already includes this feature in its bundle.",,,,,
,Add On Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,100-250,Trellix Phishing Sim (EU) 1:1TE,TPSEUE-AA,33.36,TPSEUE-AA-AA,FCS Date 05/07/2025
B,251-1000,Trellix Phishing Sim (EU) 1:1TE,TPSEUE-AA,28.35,TPSEUE-AA-BA,FCS Date 05/07/2025
C,1001-2000,Trellix Phishing Sim (EU) 1:1TE,TPSEUE-AA,24.11,TPSEUE-AA-CA,FCS Date 05/07/2025
D,2001-5000,Trellix Phishing Sim (EU) 1:1TE,TPSEUE-AA,21.68,TPSEUE-AA-DA,FCS Date 05/07/2025
E,5001-10000,Trellix Phishing Sim (EU) 1:1TE,TPSEUE-AA,19.52,TPSEUE-AA-EA,FCS Date 05/07/2025
F,10001-+,Trellix Phishing Sim (EU) 1:1TE,TPSEUE-AA,17.57,TPSEUE-AA-FA,FCS Date 05/07/2025
EMCLVX-DE,"Email Security for Office 365 (German Data Center)
LICENSE: Per User
DELIVERABLE: SaaS with activation email
CONTENT: Email Cloud with AntiVirus/AntiSpam functionality, IVX Enterprise Cloud and Trellix Phishing Simulator
MANAGEMENT: Both Email Cloud and IVX Enterprise Cloud have own console
RESTRICTIONS: Minimum New Sale Order Quantity is 250 Users
NOTE: Trellix-M IAM hosted only. Customers purchasing on a Per-User basis may use the Product for up to twenty (20) submissions per User per month of the Product Term, aggregated across all of Customer’s Users. ""Submissions"" are files or other artefacts submitted to the Product by Customer for processing. Users here refers to the employee count of the organization.",,,,,
,Subscription Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,100-250,Email Sec for Office 365 (DE) 1:1TE,EMCVDEE-AA,Call For Quote,EMCVDEE-AAAA,
B,251-1000,Email Sec for Office 365 (DE) 1:1TE,EMCVDEE-AA,127.14,EMCVDEE-AABA,
C,1001-2000,Email Sec for Office 365 (DE) 1:1TE,EMCVDEE-AA,127.14,EMCVDEE-AACA,
D,2001-5000,Email Sec for Office 365 (DE) 1:1TE,EMCVDEE-AA,115.26,EMCVDEE-AADA,
E,5001-10000,Email Sec for Office 365 (DE) 1:1TE,EMCVDEE-AA,115.26,EMCVDEE-AAEA,
F,10001-+,Email Sec for Office 365 (DE) 1:1TE,EMCVDEE-AA,103.7,EMCVDEE-AAFA,
,"Data Security Suites (Subscription)
All new/ initial Data Security Suite opportunities (for Suites containing DLP content) require Professional Services. Reference the Quoting Handbook Product Requirements General Guidance, under Data Security section, for detailed quote and order guidance. ",,,,,
DATA-S-DE,"Trellix Data Security Suite - Subscription (Germany Data Center)
LICENSE: Per Endpoint (Total number of Laptops, Workstation and Servers)
DELIVERABLE: Software as a Service (SaaS) with activation email and/or software download for on-premises deployment.
MANAGEMENT: ePO - SaaS and ePO - On-prem.
PRODUCT CONTENT: Trellix Data Security Suite combines the Trellix Data Encryption Suite of protection options to safeguard data and devices from unauthorized access with the Trellix Data Loss Prevention (DLP) Suite of solutions to discover, identify, classify, monitor and protect sensitive data on endpoints, in email, on the web and in network storage. Products included are Trellix Drive Encryption, Trellix Native Drive Encryption, Trellix File & Removable Media Protection, Trellix DLP Endpoint Complete, Trellix Device Control, Trellix DLP Network Monitor, Trellix DLP Network Prevent and Trellix DLP Discover.
",,,,,
,Subscription Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,5-250,Data Security Suite (DE) 1:1TE,DATADEE-AT,303.68,DATADEE-ATAA,
B,251-1000,Data Security Suite (DE) 1:1TE,DATADEE-AT,260.76,DATADEE-ATBA,
C,1001-2000,Data Security Suite (DE) 1:1TE,DATADEE-AT,220.71,DATADEE-ATCA,
D,2001-5000,Data Security Suite (DE) 1:1TE,DATADEE-AT,187.55,DATADEE-ATDA,
E,5001-10000,Data Security Suite (DE) 1:1TE,DATADEE-AT,156.7,DATADEE-ATEA,
F,10001-+,Data Security Suite (DE) 1:1TE,DATADEE-AT,120.45,DATADEE-ATFA,
DATAU-S-DE,"Trellix Data Security Suite Upgrade  - Subscription (Germany Data Center)
LICENSE: Per Endpoint (Total number of Laptops, Workstation and Servers)
DELIVERABLE: Software as a Service (SaaS) with activation email and/or software download for on-premises deployment.
MANAGEMENT: ePO - SaaS and ePO - On-prem.
PRODUCT CONTENT: Trellix Data Security Suite combines the Trellix Data Encryption Suite of protection options to safeguard data and devices from unauthorized access with the Trellix Data Loss Prevention (DLP) Suite of solutions to discover, identify, classify, monitor and protect sensitive data on endpoints, in email, on the web and in network storage. Products included are Trellix Drive Encryption, Trellix Native Drive Encryption, Trellix File & Removable Media Protection, Trellix DLP Endpoint Complete, Trellix Device Control, Trellix DLP Network Monitor, Trellix DLP Network Prevent and Trellix DLP Discover.
",,,,,
,Upgrade Subscription Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,5-250,Data Security Suite (DE) 1:1TE UPG,DATADEE-DT,303.68,DATADEE-DTAA,
B,251-1000,Data Security Suite (DE) 1:1TE UPG,DATADEE-DT,260.76,DATADEE-DTBA,
C,1001-2000,Data Security Suite (DE) 1:1TE UPG,DATADEE-DT,220.71,DATADEE-DTCA,
D,2001-5000,Data Security Suite (DE) 1:1TE UPG,DATADEE-DT,187.55,DATADEE-DTDA,
E,5001-10000,Data Security Suite (DE) 1:1TE UPG,DATADEE-DT,156.7,DATADEE-DTEA,
F,10001-+,Data Security Suite (DE) 1:1TE UPG,DATADEE-DT,120.45,DATADEE-DTFA,
TDL-S-DE,"Trellix Data Loss Prevention Suite - Subscription (Germany Data Center)
LICENSE: 12 Month Subscription, License Per Endpoint (Total number of Laptops, Workstation and Servers). Each Virtual Instance or Workstation is equivalent to 1 Endpoint.
DELIVERABLE:  Software as a Service (SaaS) with activation email and/or software download for on-premises deployment.
Management: ePO - SaaS and ePO - On-prem.
PRODUCT CONTENT: Available as an add on to DLP Appliances or can be used in a virtual appliance environment. Includes DLP Monitor, DLP Discover, DLP Prevent and DLP Endpoint and Device Control.",,,,,
,Subscription Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,5-5000,Data Loss Prevention Suite (DE) 1:1TE,TDLDEE-AA,138.32,TDLDEE-AA-AA,FCS Date 05/06/2025
B,5001-10000,Data Loss Prevention Suite (DE) 1:1TE,TDLDEE-AA,118.06,TDLDEE-AA-BA,FCS Date 05/06/2025
C,10001-25000,Data Loss Prevention Suite (DE) 1:1TE,TDLDEE-AA,98.62,TDLDEE-AA-CA,FCS Date 05/06/2025
D,25001-50000,Data Loss Prevention Suite (DE) 1:1TE,TDLDEE-AA,79.14,TDLDEE-AA-DA,FCS Date 05/06/2025
E,50001-100000,Data Loss Prevention Suite (DE) 1:1TE,TDLDEE-AA,63.56,TDLDEE-AA-EA,FCS Date 05/06/2025
F,100001-+,Data Loss Prevention Suite (DE) 1:1TE,TDLDEE-AA,47.98,TDLDEE-AA-FA,FCS Date 05/06/2025
NDLP-S-DE,"Trellix Data Security Network Suite - Subscription (Germany Data Center)
LICENSE: Per Endpoint (Total number of Laptops, Workstation and Servers)
MANAGEMENT: ePO - SaaS and ePO - On–prem included to manage appliances and virtual appliances and Discover.  Data Loss Prevention Endpoint IS NOT included.
DELIVERABLE: Software as a Service (SaaS) with activation email and/or software download for on-premises deployment.
PRODUCT CONTENT: Appliance software available as an add on to DLP appliances (Prevent and Monitor) or can be used in a virtual appliance environment.  Also includes Discover software.
PRODUCT REQUIRES: ePO - SaaS or ePO - On–prem for on-premises management. Refer to the FAQs for latest product compatibility matrix  for the latest version requirements.",,,,,
,Subscription Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,5-5000,Data Sec Network Suite (DE) 1:1TE,NDLDEE-AT,147.72,NDLDEE-AT-AA,
B,5001-10000,Data Sec Network Suite (DE) 1:1TE,NDLDEE-AT,126.06,NDLDEE-AT-BA,
C,10001-25000,Data Sec Network Suite (DE) 1:1TE,NDLDEE-AT,105.29,NDLDEE-AT-CA,
D,25001-50000,Data Sec Network Suite (DE) 1:1TE,NDLDEE-AT,84.53,NDLDEE-AT-DA,
E,50001-100000,Data Sec Network Suite (DE) 1:1TE,NDLDEE-AT,67.89,NDLDEE-AT-EA,
F,100001-+,Data Sec Network Suite (DE) 1:1TE,NDLDEE-AT,51.25,NDLDEE-AT-FA,
NDLPU-S-DE,"Trellix Data Security Network Suite Upgrade - Subscription (Germany Data Center)
LICENSE: Per Endpoint (Total number of Laptops, Workstation and Servers)
MANAGEMENT: ePO - SaaS and ePO - On–prem included to manage appliances and virtual appliances and Discover.  Data Loss Prevention Endpoint IS NOT included.
DELIVERABLE: Software as a Service (SaaS) with activation email and/or software download for on-premises deployment.
PRODUCT CONTENT: Upgrade from TDL bundle (without  DLP endpoint).  Appliance software available as an add on to DLP appliances (Prevent and Monitor) or can be used in a virtual appliance environment.  Also includes Discover software.
PRODUCT REQUIRES: ePO - SaaS or ePO - On–prem for on-premises management. Refer to the FAQs for latest product compatibility matrix  for the latest version requirements.",,,,,
,Upgrade Subscription Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,5-5000,Data Sec Network Suite UPG (DE) 1:1TE,NDLDEE-DT,147.72,NDLDEE-DT-AA,
B,5001-10000,Data Sec Network Suite UPG (DE) 1:1TE,NDLDEE-DT,126.06,NDLDEE-DT-BA,
C,10001-25000,Data Sec Network Suite UPG (DE) 1:1TE,NDLDEE-DT,105.29,NDLDEE-DT-CA,
D,25001-50000,Data Sec Network Suite UPG (DE) 1:1TE,NDLDEE-DT,84.53,NDLDEE-DT-DA,
E,50001-100000,Data Sec Network Suite UPG (DE) 1:1TE,NDLDEE-DT,67.89,NDLDEE-DT-EA,
F,100001-+,Data Sec Network Suite UPG (DE) 1:1TE,NDLDEE-DT,51.25,NDLDEE-DT-FA,
CDA-S-DE,"Trellix Data Security Endpoint Protection Suite - Subscription (Germany Data Center)
LICENSE: Per Endpoint (Total number of Laptops, Workstation and Servers)
MANAGEMENT: ePO - SaaS and ePO - On-prem included to manage DLP Endpoint Complete, Drive Encryption, File & Removable Media Protection and Native Drive Encryption Subscriptions.
DELIVERABLE: Software as a Service (SaaS) with activation email and/or software download for on-premises deployment.
PRODUCT CONTENT: Provides the core features of the Data Security Encryption Suite, along with DLP Endpoint Complete. Includes DLP Endpoint Complete, Drive Encryption, File & Removable Media Protection and Native Drive Encryption.
PRODUCT REQUIRES: ePO - SaaS or ePO - On-prem for on-premises management of DLP Endpoint Complete, Drive Encryption, File & Removable Media Protection and Native Drive Encryption. Does not require Endpoint protection, but will require the Trellix Agent.
Note: Trellix File & Removable Media Protection in ePO SaaS is currently limited to removable media offsite encryption.
Note: Trellix Native Drive Encryption in ePO SaaS does not support network unlock or AD preboot authentication (deprecated).",,,,,
,Subscription Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,5-250,Data Sec Endpt Prot Suite (DE) 1:1TE,CDADEE-AT,171.97,CDADEE-AT-AA,
B,251-1000,Data Sec Endpt Prot Suite (DE) 1:1TE,CDADEE-AT,148.42,CDADEE-AT-BA,
C,1001-2000,Data Sec Endpt Prot Suite (DE) 1:1TE,CDADEE-AT,127.02,CDADEE-AT-CA,
D,2001-5000,Data Sec Endpt Prot Suite (DE) 1:1TE,CDADEE-AT,112.87,CDADEE-AT-DA,
