Unnamed: 0,Unnamed: 1,Unnamed: 2
,CUST-SPPT-ENS-S,Trellix Software Support on Legacy Windows Server - ENS-Server
,CUST-SPPT-WIN-HIPS-C,Trellix Software Support on Legacy Windows - HIPS-Client
,CUST-SPPT-WIN-HIPS-S,Trellix Software Support on Legacy Windows Server - HIPS-Server
,CUST-SPPT-W7-MAC-S,Trellix Software Support on Legacy Windows Server - TAC-Server
,CUST-SPPT-W7-MAC-C,Trellix Software Support on Windows 7 - TAC-Client
,CUST-SPPT-W7-MCC-C,Trellix Software Support on Windows 7 - TCC-Client
,CUST-SPPT-W7-MCC-S,Trellix Software Support on Legacy Windows Server - TCC-Server
,CUST-SPPT-WIN-VSE-C,Trellix Software Support on Legacy Windows - VSE-Client
,CUST-SPPT-WIN-VSE-S,Trellix Software Support on Legacy Windows Server - VSE-Server
,CUST-SPPT-ACD,Trellix Legacy Support for Application and Change Control - Desktop
,CUST-SPPT-ACS,Trellix Legacy Support for Application and Change Control - Server
,CUST-SPPT-WIN-HX,Trellix Software Support on Legacy Windows - HX
,CUST-SPPT-EDR,Trellix Software Extended Support on Windows - EDR
,,Hermes Endpoint Subscriptions
,EPEES-T,Endpoint Security Essentials Edition (Enterprise)(T)
,EPUES-T,Endpoint Security Essentials Edition(T)
,EPEPW-T,Endpoint Security Power Edition (Enterprise)(T)
,EPEPWU-T,Endpoint Security Power Edition (Enterprise) - UPGRADE(T)
,EPUPW-T,Endpoint Security Power Edition(T)
,EPUPWU-T,Endpoint Security Power Edition - UPGRADE(T)
,,Hermes Endpoint Virtual Appliance Deployment Options
,EP-VA-T,Endpoint Security Virtual(T)
,EP-DMZ-VA-T,Endpoint Security DMZ Virtual(T)
,,Hermes Endpoint Hardware Appliance Deployment Options
,EP4600-T,EP 4600 Appliance(T)
,EP4600-DMZ-T,EP 4600 DMZ Appliance(T)
,,Endpoint Cloud Deploy Options
,HXCL-T,HX Cloud Hosting Endpoint - Large (T)
,HXCM-T,HX Cloud Hosting Endpoint - Medium(T)
,HXGCL-T,HX Cloud Hosting Endpoint - GCP - Large (T)
,HXGCM-T,HX Cloud Hosting Endpoint - GCP - Medium(T)
,,
,Trellix Server Security,
,,Cloud Workload Security EDR
,CWSDR,Trellix Cloud Workload Security Detect and Respond
,CWSDRU,Trellix Cloud Workload Security Detect and Respond - Upgrade
,,Server Security Suites
,CWSB,Trellix Cloud Workload Security - Basic
,CWSB-S,Trellix Cloud Workload Security - Basic Subscription
,CWSBU-S,Trellix Cloud Workload Security Basic - Transition Subscription
,CWSE,Trellix Cloud Workload Security - Essentials
,CWSE-S,Trellix Cloud Workload Security - Essentials Subscription
,CWSEU-S,Trellix Cloud Workload Security Essentials - Transition Subscription
,CWSA,Trellix Cloud Workload Security - Advanced
,CWSA-S,Trellix Cloud Workload Security - Advanced Subscription
,CWSAU-S,Trellix Cloud Workload Security Advanced - Transition Subscription
,,Server Security Solutions
,MOD,Trellix MOVE AntiVirus for Virtual Desktops (VDI)
,MOV,Trellix MOVE AntiVirus for Virtual Servers
,PAS,Trellix Policy Auditor for Servers
,,File & Application Control - Server
,CHS,Trellix Change Control for Servers
,ACS,Trellix Application Control for Servers
,,
,Trellix Data Security,
,,Data Security Suites (Subscription)
,DATA-S,Trellix Data Security Suite - Subscription
,DATAU-S,Trellix Data Security Suite Upgrade  - Subscription
,TDL-S,Trellix Data Loss Prevention Suite - Subscription
,DATA-DB-S,Trellix Database Security for Data Security Suite - Subscription
,NDLP-S,Trellix Data Security Network Suite- Subscription
,NDLPU-S,Trellix Data Security Network Suite Upgrade - Subscription
,CDA-S,Trellix Data Security Endpoint Protection Suite - Subscription
,CDAU-S,Trellix Data Security Endpoint Protection Suite Upgrade  - Subscription
,CDB-S,Trellix Data Encryption Suite  - Subscription
,CDBU-S,Trellix Data Encryption Suite - Subscription Upgrade
,,Data Loss Prevention (DLP) (Subscription)
,DLP-S,Trellix Data Loss Prevention Endpoint Complete - Subscription
,DLPU-S,Trellix Data Loss Prevention Endpoint Complete Upgrade - Subscription
,DLS,Trellix Data Loss Prevention Extended Data Retention (Add On)
,DEC-S,Trellix Device Control - Subscription
,DDS-S,Trellix Data Loss Prevention Discover - Subscription
,DDSU-S,Trellix Data Loss Prevention Discover Upgrade - Subscription
,DMO-S,Trellix Data Loss Prevention Network Monitor - Subscription
,DMOU-S,Trellix Data Loss Prevention Network Monitor Upgrade - Subscription
,DPV-S,Trellix Data Loss Prevention Network Prevent - Subscription
,DPVU-S,Trellix Data Loss Prevention Network Prevent Upgrade - Subscription
,OCR-S,Trellix Data Loss Prevention OCR Network (Add-on) - Subscription
,OCRE-S,Trellix Data Loss Prevention OCR Endpoint (Add-on) - Subscription
,OCREN-S,Trellix Data Loss Prevention OCR Suite (Add-on) - Subscription
,,Data Encryption (Subscription)
,TDE-S,Trellix Drive Encryption - Subscription
,TNE-S,Trellix Native Drive Encryption - Subscription
,FRP-S,Trellix File and Removable Media Protection - Subscription
,,Database Security (Subscription)
,DCD-S,Trellix Database Security - Subscription
,,Data Security Suites (Perpetual + Support)
,DATA,Trellix Data Security Suite
,DATAU,Trellix Data Security Suite - Upgrade
,DATA-DB,Trellix Database Security for Data Security Suite
,NDLP,Trellix Data Security Network Suite
,NDLPU,Trellix Data Security Network Suite Upgrade
,TDL,Trellix Data Loss Prevention Suite
,CDA,Trellix Data Security Endpoint Protection Suite
,CDAU,Trellix Data Security Endpoint Protection Suite - Upgrade
,CDB,Trellix Data Encryption Suite
,CDBU,Trellix Data Encryption Suite - Upgrade
,,Data Loss Prevention (DLP) (Perpetual + Support)
,DLP,Trellix Data Loss Prevention Endpoint Complete
,DLPU,Trellix Data Loss Prevention Endpoint Complete Upgrade
,DEC,Trellix Device Control
,DDS,Trellix Data Loss Prevention Discover
,DMO,Trellix Data Loss Prevention Network Monitor
,DPV,Trellix Data Loss Prevention Network Prevent
,OCR,Trellix Data Loss Prevention OCR Network (Add-on)
,,Data Encryption (Perpetual + Support)
,TDE,Trellix Drive Encryption
,TNE,Trellix Native Drive Encryption
,FRP,Trellix File and Removable Media Protection
,,Database Security (Perpetual + Support)
,DCD,Trellix Database Security
,,Data Loss Prevention (DLP) Appliances (Perpetual + Support)
,8800DLP-A,Trellix DLP 8800-A Appliance
,CSADLP-B,Trellix Data Loss Prevention Network Forensics Array
,,
,Trellix EU_DE Data Center,
,,Email Security
,EMCL-EU,Email Security Cloud Edition (European Data Center)
,EMCA-EU,Email Security Cloud AntiVirus/AntiSpam Edition (European Data Center)
,EMCAU-EU,Email Security Cloud AntiVirus/AntiSpam Edition - Upgrade (European Data Center)
,TPS-EU,Trellix Phishing Simulator (European Data Center)
,EMCLVX-DE,Email Security for Office 365 (German Data Center)
,,Data Security Suites (Subscription)
,DATA-S-DE,Trellix Data Security Suite - Subscription (Germany Data Center)
,DATAU-S-DE,Trellix Data Security Suite Upgrade  - Subscription (Germany Data Center)
,TDL-S-DE,Trellix Data Loss Prevention Suite - Subscription (Germany Data Center)
,NDLP-S-DE,Trellix Data Security Network Suite - Subscription (Germany Data Center)
