Channel SKU,Part. No.,Layer1,Layer2,Layer3 STUB,Layer3 STUB Description,Layer4,Layer5,Band,Min,Max,Description,MSRP List Price,Assurance,Packaged Weight,Packaged Size,Tiered Pric,Pricing Tier,Reseller Authorization,Tier 1 Authorization,Reorder,Export Restriction,FCS Date,EOS Date,Commission Group Description,EAN/UPC,Effective Date,Currency,Price List,Solution Competency
TPSEUE-AA-DA,TPSEUE-AA,Trellix EU_DE Data Center,Email Security,TPS-EU,Trellix Phishing Simulator (European Data Center),Add On Offering,1yr Subscription with 1yr Thrive Essential,D,2001,5000,Trellix Phishing Sim (EU) 1:1TE,21.68,Yes, , ,No,Standard,No,No,No,Yes,05/07/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
TPSEUE-AA-EA,TPSEUE-AA,Trellix EU_DE Data Center,Email Security,TPS-EU,Trellix Phishing Simulator (European Data Center),Add On Offering,1yr Subscription with 1yr Thrive Essential,E,5001,10000,Trellix Phishing Sim (EU) 1:1TE,19.52,Yes, , ,No,Standard,No,No,No,Yes,05/07/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
TPSEUE-AA-FA,TPSEUE-AA,Trellix EU_DE Data Center,Email Security,TPS-EU,Trellix Phishing Simulator (European Data Center),Add On Offering,1yr Subscription with 1yr Thrive Essential,F,10001,+,Trellix Phishing Sim (EU) 1:1TE,17.57,Yes, , ,No,Standard,No,No,No,Yes,05/07/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
ACDDEE-AA-AA,ACDDEE-AA,Trellix EU_DE Data Center,File & Application Control,ACD-S-DE,Trellix Application Control for PCs - Subscription (Germany Data Center),Subscription Offering,1yr Subscription with 1yr Thrive Essential,A,5,250,Trellix App Control PCs (DE) 1:1TE,115.76,No, , ,No,Standard,No,No,No,Yes,05/29/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
ACDDEE-AA-BA,ACDDEE-AA,Trellix EU_DE Data Center,File & Application Control,ACD-S-DE,Trellix Application Control for PCs - Subscription (Germany Data Center),Subscription Offering,1yr Subscription with 1yr Thrive Essential,B,251,1000,Trellix App Control PCs (DE) 1:1TE,109.53,No, , ,No,Standard,No,No,No,Yes,05/29/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
ACDDEE-AA-CA,ACDDEE-AA,Trellix EU_DE Data Center,File & Application Control,ACD-S-DE,Trellix Application Control for PCs - Subscription (Germany Data Center),Subscription Offering,1yr Subscription with 1yr Thrive Essential,C,1001,2000,Trellix App Control PCs (DE) 1:1TE,91.23,No, , ,No,Standard,No,No,No,Yes,05/29/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
ACDDEE-AA-DA,ACDDEE-AA,Trellix EU_DE Data Center,File & Application Control,ACD-S-DE,Trellix Application Control for PCs - Subscription (Germany Data Center),Subscription Offering,1yr Subscription with 1yr Thrive Essential,D,2001,5000,Trellix App Control PCs (DE) 1:1TE,68.46,No, , ,No,Standard,No,No,No,Yes,05/29/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
ACDDEE-AA-EA,ACDDEE-AA,Trellix EU_DE Data Center,File & Application Control,ACD-S-DE,Trellix Application Control for PCs - Subscription (Germany Data Center),Subscription Offering,1yr Subscription with 1yr Thrive Essential,E,5001,10000,Trellix App Control PCs (DE) 1:1TE,51.32,No, , ,No,Standard,No,No,No,Yes,05/29/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
ACDDEE-AA-FA,ACDDEE-AA,Trellix EU_DE Data Center,File & Application Control,ACD-S-DE,Trellix Application Control for PCs - Subscription (Germany Data Center),Subscription Offering,1yr Subscription with 1yr Thrive Essential,F,10001,+,Trellix App Control PCs (DE) 1:1TE,38.53,No, , ,No,Standard,No,No,No,Yes,05/29/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
TPSJPE-AA-AA,TPSJPE-AA,Trellix JP_ AU Data Centers,Email Security,TPS-JP,Trellix Phishing Simulator (Tokyo Data Center),Add On Offering,1yr Subscription with 1yr Thrive Essential,A,100,250,Trellix Phishing Sim (JP) 1:1TE,33.36,Yes, , ,No,Standard,No,No,No,Yes,05/07/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
TPSJPE-AA-BA,TPSJPE-AA,Trellix JP_ AU Data Centers,Email Security,TPS-JP,Trellix Phishing Simulator (Tokyo Data Center),Add On Offering,1yr Subscription with 1yr Thrive Essential,B,251,1000,Trellix Phishing Sim (JP) 1:1TE,28.35,Yes, , ,No,Standard,No,No,No,Yes,05/07/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
