Band,Range,Description,PartNo,MSRP List Price,Standard Channel SKU,Unnamed: 6
I,5001-10000,Cloud Workload Sec Basic P:1TE[P+],CWBCDE-AB,204.0,CWBCDE-AB-IA,
J,10001-+,Cloud Workload Sec Basic P:1TE[P+],CWBCDE-AB,191.52,CWBCDE-AB-JA,
,ProtectPLUS 1yr Thrive Essential,,,,,
A,1-25,Cloud Workload Sec Basic 1YrTE[P+],CWBYFM-AB,183.18,CWBYFM-AB-AA,
B,26-50,Cloud Workload Sec Basic 1YrTE[P+],CWBYFM-AB,155.71,CWBYFM-AB-BA,
C,51-100,Cloud Workload Sec Basic 1YrTE[P+],CWBYFM-AB,139.23,CWBYFM-AB-CA,
D,101-250,Cloud Workload Sec Basic 1YrTE[P+],CWBYFM-AB,124.58,CWBYFM-AB-DA,
E,251-500,Cloud Workload Sec Basic 1YrTE[P+],CWBYFM-AB,119.06,CWBYFM-AB-EA,
F,501-1000,Cloud Workload Sec Basic 1YrTE[P+],CWBYFM-AB,111.74,CWBYFM-AB-FA,
G,1001-2000,Cloud Workload Sec Basic 1YrTE[P+],CWBYFM-AB,104.39,CWBYFM-AB-GA,
H,2001-5000,Cloud Workload Sec Basic 1YrTE[P+],CWBYFM-AB,95.27,CWBYFM-AB-HA,
I,5001-10000,Cloud Workload Sec Basic 1YrTE[P+],CWBYFM-AB,89.75,CWBYFM-AB-IA,
J,10001-+,Cloud Workload Sec Basic 1YrTE[P+],CWBYFM-AB,84.29,CWBYFM-AB-JA,
CWSB-S,"Trellix Cloud Workload Security - Basic Subscription
LICENSE: Per OS Instance.
DELIVERABLE: Download.
MANAGEMENT: ePO - On-prem, ePO - IaaS.
PRODUCT CONTENT: Cloud Workload Security for hybrid cloud (VMware, OpenStack, Citrix Xen, Hyper-V, AWS and Azure), Endpoint Security (ENS) for Servers, Endpoint Security (ENS) Firewall Module, Endpoint Security (ENS) for Linux, MOVE Enterprise  (includes: MOVE AV Agentless and Multi-Platform).",,,,,
,Subscription Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-25,Cloud Workload Sec Basic 1:1TE [P+],CWBECE-AB,253.32,CWBECE-AB-AA,
B,26-50,Cloud Workload Sec Basic 1:1TE [P+],CWBECE-AB,215.32,CWBECE-AB-BA,
C,51-100,Cloud Workload Sec Basic 1:1TE [P+],CWBECE-AB,192.51,CWBECE-AB-CA,
D,101-250,Cloud Workload Sec Basic 1:1TE [P+],CWBECE-AB,172.25,CWBECE-AB-DA,
E,251-500,Cloud Workload Sec Basic 1:1TE [P+],CWBECE-AB,164.62,CWBECE-AB-EA,
F,501-1000,Cloud Workload Sec Basic 1:1TE [P+],CWBECE-AB,154.5,CWBECE-AB-FA,
G,1001-2000,Cloud Workload Sec Basic 1:1TE [P+],CWBECE-AB,144.39,CWBECE-AB-GA,
H,2001-5000,Cloud Workload Sec Basic 1:1TE [P+],CWBECE-AB,131.73,CWBECE-AB-HA,
I,5001-10000,Cloud Workload Sec Basic 1:1TE [P+],CWBECE-AB,124.11,CWBECE-AB-IA,
J,10001-+,Cloud Workload Sec Basic 1:1TE [P+],CWBECE-AB,116.53,CWBECE-AB-JA,
CWSBU-S,"Trellix Cloud Workload Security Basic - Transition Subscription
LICENSE: Per OS Instance.
DELIVERABLE: Download.
PRODUCT CONTENT: For existing Data Centre customers converting from existing 'perpetual' license and support, or from a lesser Subscription product, to the CWS Basic Subscription. Also for existing Endpoint Security Suite (ENS) customer converting an existing 'node' license  used on a server to a CWS Basic 'server' subscription.  For further information please refer to the Quoting Product Requirements Handbook.",,,,,
,Upgrade Subscription Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-25,CloudWorkloadSecBasic UPGD1:1TE [P+],CWBECE-DB,253.32,CWBECE-DB-AA,
B,26-50,CloudWorkloadSecBasic UPGD1:1TE [P+],CWBECE-DB,215.32,CWBECE-DB-BA,
C,51-100,CloudWorkloadSecBasic UPGD1:1TE [P+],CWBECE-DB,192.51,CWBECE-DB-CA,
D,101-250,CloudWorkloadSecBasic UPGD1:1TE [P+],CWBECE-DB,172.25,CWBECE-DB-DA,
E,251-500,CloudWorkloadSecBasic UPGD1:1TE [P+],CWBECE-DB,164.62,CWBECE-DB-EA,
F,501-1000,CloudWorkloadSecBasic UPGD1:1TE [P+],CWBECE-DB,154.5,CWBECE-DB-FA,
G,1001-2000,CloudWorkloadSecBasic UPGD1:1TE [P+],CWBECE-DB,144.39,CWBECE-DB-GA,
H,2001-5000,CloudWorkloadSecBasic UPGD1:1TE [P+],CWBECE-DB,131.73,CWBECE-DB-HA,
I,5001-10000,CloudWorkloadSecBasic UPGD1:1TE [P+],CWBECE-DB,124.11,CWBECE-DB-IA,
J,10001-+,CloudWorkloadSecBasic UPGD1:1TE [P+],CWBECE-DB,116.53,CWBECE-DB-JA,
CWSE,"Trellix Cloud Workload Security - Essentials
LICENSE: Per OS Instance.
DELIVERABLE: Download.
MANAGEMENT:  ePO - On-prem, ePO - IaaS.
PRODUCT CONTENT: Cloud Workload Security for hybrid cloud (VMware, OpenStack, Citrix Xen, Hyper-V, AWS and Azure), Endpoint Security for Servers, Endpoint Security Firewall Module, Endpoint Security for Linux, Threat Intelligence Exchange (TIE), MOVE Enterprise  (includes: MOVE AV Agentless and Multi-Platform), Network Visibility and Micro-Segmentation based firewall.",,,,,
,Standard Offering,,,,,
,ProtectPLUS Perpetual License with 1yr Thrive Essential,,,,,
A,1-25,Cloud Workload Sec Essl P:1TE[P+],CWECDE-AB,1132.48,CWECDE-AB-AA,
B,26-50,Cloud Workload Sec Essl P:1TE[P+],CWECDE-AB,962.61,CWECDE-AB-BA,
C,51-100,Cloud Workload Sec Essl P:1TE[P+],CWECDE-AB,860.68,CWECDE-AB-CA,
D,101-250,Cloud Workload Sec Essl P:1TE[P+],CWECDE-AB,770.09,CWECDE-AB-DA,
E,251-500,Cloud Workload Sec Essl P:1TE[P+],CWECDE-AB,736.1,CWECDE-AB-EA,
F,501-1000,Cloud Workload Sec Essl P:1TE[P+],CWECDE-AB,690.82,CWECDE-AB-FA,
G,1001-2000,Cloud Workload Sec Essl P:1TE[P+],CWECDE-AB,645.5,CWECDE-AB-GA,
H,2001-5000,Cloud Workload Sec Essl P:1TE[P+],CWECDE-AB,588.87,CWECDE-AB-HA,
I,5001-10000,Cloud Workload Sec Essl P:1TE[P+],CWECDE-AB,554.91,CWECDE-AB-IA,
J,10001-+,Cloud Workload Sec Essl P:1TE[P+],CWECDE-AB,520.94,CWECDE-AB-JA,
,ProtectPLUS 1yr Thrive Essential,,,,,
A,1-25,Cloud Workload Sec Essl 1YrTE[P+],CWEYFM-AB,498.3,CWEYFM-AB-AA,
