Layer1,Layer2,Layer3 STUB,Layer3 STUB Description,Layer4,Layer5,Band,Min,Max,Description,Part. No.,Channel SKU,MSRP List Price,Assurance,Packaged Weight,Packaged Size,Tiered Pric,Pricing Tier,Reseller Authorization,Tier 1 Authorization,Reorder,Export Restriction,FCS Date,EOS Date,Commission Group Description,EAN/UPC,Effective Date,Currency,Price List,Solution Competency,Product Type
Trellix Endpoint Security,Hermes Endpoint Subscriptions,EPUPW-T,Endpoint Security Power Edition(T),1 Way Offering,1yr Subscription with 1yr Thrive Essential,A,1,250,Endpoint Sec PWR Ed (user) 1W 1:1TE(T),EPPW1WECE-AA,EPPW1WECE-AA-AA,225.83,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,EDR
Trellix Endpoint Security,Hermes Endpoint Subscriptions,EPUPW-T,Endpoint Security Power Edition(T),1 Way Offering,1yr Subscription with 1yr Thrive Essential,B,251,1000,Endpoint Sec PWR Ed (user) 1W 1:1TE(T),EPPW1WECE-AA,EPPW1WECE-AA-BA,201.8,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,EDR
Trellix Endpoint Security,Hermes Endpoint Subscriptions,EPUPW-T,Endpoint Security Power Edition(T),1 Way Offering,1yr Subscription with 1yr Thrive Essential,C,1001,2000,Endpoint Sec PWR Ed (user) 1W 1:1TE(T),EPPW1WECE-AA,EPPW1WECE-AA-CA,177.78,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,EDR
Trellix Endpoint Security,Hermes Endpoint Subscriptions,EPUPW-T,Endpoint Security Power Edition(T),1 Way Offering,1yr Subscription with 1yr Thrive Essential,D,2001,5000,Endpoint Sec PWR Ed (user) 1W 1:1TE(T),EPPW1WECE-AA,EPPW1WECE-AA-DA,158.56,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,EDR
Trellix Endpoint Security,Hermes Endpoint Subscriptions,EPUPW-T,Endpoint Security Power Edition(T),1 Way Offering,1yr Subscription with 1yr Thrive Essential,E,5001,10000,Endpoint Sec PWR Ed (user) 1W 1:1TE(T),EPPW1WECE-AA,EPPW1WECE-AA-EA,124.92,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,EDR
Trellix Endpoint Security,Hermes Endpoint Subscriptions,EPUPW-T,Endpoint Security Power Edition(T),1 Way Offering,1yr Subscription with 1yr Thrive Essential,F,10001,+,Endpoint Sec PWR Ed (user) 1W 1:1TE(T),EPPW1WECE-AA,EPPW1WECE-AA-FA,91.28,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,EDR
Trellix Endpoint Security,Hermes Endpoint Subscriptions,EPUPW-T,Endpoint Security Power Edition(T),Offline Offering,1yr Subscription with 1yr Thrive Essential,A,1,250,Endpoint Sec PWR Ed (user) OF 1:1TE(T),EPPWOFECE-AA,EPPWOFECE-AA-AA,232.67,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,EDR
Trellix Endpoint Security,Hermes Endpoint Subscriptions,EPUPW-T,Endpoint Security Power Edition(T),Offline Offering,1yr Subscription with 1yr Thrive Essential,B,251,1000,Endpoint Sec PWR Ed (user) OF 1:1TE(T),EPPWOFECE-AA,EPPWOFECE-AA-BA,207.92,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,EDR
Trellix Endpoint Security,Hermes Endpoint Subscriptions,EPUPW-T,Endpoint Security Power Edition(T),Offline Offering,1yr Subscription with 1yr Thrive Essential,C,1001,2000,Endpoint Sec PWR Ed (user) OF 1:1TE(T),EPPWOFECE-AA,EPPWOFECE-AA-CA,183.18,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,EDR
Trellix Endpoint Security,Hermes Endpoint Subscriptions,EPUPW-T,Endpoint Security Power Edition(T),Offline Offering,1yr Subscription with 1yr Thrive Essential,D,2001,5000,Endpoint Sec PWR Ed (user) OF 1:1TE(T),EPPWOFECE-AA,EPPWOFECE-AA-DA,163.35,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,EDR
Trellix Endpoint Security,Hermes Endpoint Subscriptions,EPUPW-T,Endpoint Security Power Edition(T),Offline Offering,1yr Subscription with 1yr Thrive Essential,E,5001,10000,Endpoint Sec PWR Ed (user) OF 1:1TE(T),EPPWOFECE-AA,EPPWOFECE-AA-EA,128.71,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,EDR
Trellix Endpoint Security,Hermes Endpoint Subscriptions,EPUPW-T,Endpoint Security Power Edition(T),Offline Offering,1yr Subscription with 1yr Thrive Essential,F,10001,+,Endpoint Sec PWR Ed (user) OF 1:1TE(T),EPPWOFECE-AA,EPPWOFECE-AA-FA,94.06,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,EDR
Trellix Endpoint Security,Hermes Endpoint Subscriptions,EPUPWU-T,Endpoint Security Power Edition - UPGRADE(T),2 Way Offering,1yr Subscription with 1yr Thrive Essential,A,1,250,EndptSec PWR Ed UP (user) 2W 1:1TE(T),EPPW2WECE-DA,EPPW2WECE-DA-AA,205.29,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,EDR
Trellix Endpoint Security,Hermes Endpoint Subscriptions,EPUPWU-T,Endpoint Security Power Edition - UPGRADE(T),2 Way Offering,1yr Subscription with 1yr Thrive Essential,B,251,1000,EndptSec PWR Ed UP (user) 2W 1:1TE(T),EPPW2WECE-DA,EPPW2WECE-DA-BA,183.46,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,EDR
Trellix Endpoint Security,Hermes Endpoint Subscriptions,EPUPWU-T,Endpoint Security Power Edition - UPGRADE(T),2 Way Offering,1yr Subscription with 1yr Thrive Essential,C,1001,2000,EndptSec PWR Ed UP (user) 2W 1:1TE(T),EPPW2WECE-DA,EPPW2WECE-DA-CA,161.62,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,EDR
Trellix Endpoint Security,Hermes Endpoint Subscriptions,EPUPWU-T,Endpoint Security Power Edition - UPGRADE(T),2 Way Offering,1yr Subscription with 1yr Thrive Essential,D,2001,5000,EndptSec PWR Ed UP (user) 2W 1:1TE(T),EPPW2WECE-DA,EPPW2WECE-DA-DA,144.16,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,EDR
Trellix Endpoint Security,Hermes Endpoint Subscriptions,EPUPWU-T,Endpoint Security Power Edition - UPGRADE(T),2 Way Offering,1yr Subscription with 1yr Thrive Essential,E,5001,10000,EndptSec PWR Ed UP (user) 2W 1:1TE(T),EPPW2WECE-DA,EPPW2WECE-DA-EA,113.56,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,EDR
Trellix Endpoint Security,Hermes Endpoint Subscriptions,EPUPWU-T,Endpoint Security Power Edition - UPGRADE(T),2 Way Offering,1yr Subscription with 1yr Thrive Essential,F,10001,+,EndptSec PWR Ed UP (user) 2W 1:1TE(T),EPPW2WECE-DA,EPPW2WECE-DA-FA,83,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,EDR
Trellix Endpoint Security,Hermes Endpoint Subscriptions,EPUPWU-T,Endpoint Security Power Edition - UPGRADE(T),1 Way Offering,1yr Subscription with 1yr Thrive Essential,A,1,250,EndptSec PWR Ed UP (user) 1W 1:1TE(T),EPPW1WECE-DA,EPPW1WECE-DA-AA,225.83,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,EDR
Trellix Endpoint Security,Hermes Endpoint Subscriptions,EPUPWU-T,Endpoint Security Power Edition - UPGRADE(T),1 Way Offering,1yr Subscription with 1yr Thrive Essential,B,251,1000,EndptSec PWR Ed UP (user) 1W 1:1TE(T),EPPW1WECE-DA,EPPW1WECE-DA-BA,201.8,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,EDR
Trellix Endpoint Security,Hermes Endpoint Subscriptions,EPUPWU-T,Endpoint Security Power Edition - UPGRADE(T),1 Way Offering,1yr Subscription with 1yr Thrive Essential,C,1001,2000,EndptSec PWR Ed UP (user) 1W 1:1TE(T),EPPW1WECE-DA,EPPW1WECE-DA-CA,177.78,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,EDR
Trellix Endpoint Security,Hermes Endpoint Subscriptions,EPUPWU-T,Endpoint Security Power Edition - UPGRADE(T),1 Way Offering,1yr Subscription with 1yr Thrive Essential,D,2001,5000,EndptSec PWR Ed UP (user) 1W 1:1TE(T),EPPW1WECE-DA,EPPW1WECE-DA-DA,158.56,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,EDR
Trellix Endpoint Security,Hermes Endpoint Subscriptions,EPUPWU-T,Endpoint Security Power Edition - UPGRADE(T),1 Way Offering,1yr Subscription with 1yr Thrive Essential,E,5001,10000,EndptSec PWR Ed UP (user) 1W 1:1TE(T),EPPW1WECE-DA,EPPW1WECE-DA-EA,124.92,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,EDR
Trellix Endpoint Security,Hermes Endpoint Subscriptions,EPUPWU-T,Endpoint Security Power Edition - UPGRADE(T),1 Way Offering,1yr Subscription with 1yr Thrive Essential,F,10001,+,EndptSec PWR Ed UP (user) 1W 1:1TE(T),EPPW1WECE-DA,EPPW1WECE-DA-FA,91.28,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,EDR
Trellix Endpoint Security,Hermes Endpoint Subscriptions,EPUPWU-T,Endpoint Security Power Edition - UPGRADE(T),Offline Offering,1yr Subscription with 1yr Thrive Essential,A,1,250,EndptSec PWR Ed UP (user) OF 1:1TE(T),EPPWOFECE-DA,EPPWOFECE-DA-AA,232.67,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,EDR
Trellix Endpoint Security,Hermes Endpoint Subscriptions,EPUPWU-T,Endpoint Security Power Edition - UPGRADE(T),Offline Offering,1yr Subscription with 1yr Thrive Essential,B,251,1000,EndptSec PWR Ed UP (user) OF 1:1TE(T),EPPWOFECE-DA,EPPWOFECE-DA-BA,207.92,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,EDR
Trellix Endpoint Security,Hermes Endpoint Subscriptions,EPUPWU-T,Endpoint Security Power Edition - UPGRADE(T),Offline Offering,1yr Subscription with 1yr Thrive Essential,C,1001,2000,EndptSec PWR Ed UP (user) OF 1:1TE(T),EPPWOFECE-DA,EPPWOFECE-DA-CA,183.18,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,EDR
Trellix Endpoint Security,Hermes Endpoint Subscriptions,EPUPWU-T,Endpoint Security Power Edition - UPGRADE(T),Offline Offering,1yr Subscription with 1yr Thrive Essential,D,2001,5000,EndptSec PWR Ed UP (user) OF 1:1TE(T),EPPWOFECE-DA,EPPWOFECE-DA-DA,163.35,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,EDR
Trellix Endpoint Security,Hermes Endpoint Subscriptions,EPUPWU-T,Endpoint Security Power Edition - UPGRADE(T),Offline Offering,1yr Subscription with 1yr Thrive Essential,E,5001,10000,EndptSec PWR Ed UP (user) OF 1:1TE(T),EPPWOFECE-DA,EPPWOFECE-DA-EA,128.71,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,EDR
Trellix Endpoint Security,Hermes Endpoint Subscriptions,EPUPWU-T,Endpoint Security Power Edition - UPGRADE(T),Offline Offering,1yr Subscription with 1yr Thrive Essential,F,10001,+,EndptSec PWR Ed UP (user) OF 1:1TE(T),EPPWOFECE-DA,EPPWOFECE-DA-FA,94.06,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,EDR
Trellix Endpoint Security,Hermes Endpoint Virtual Appliance Deployment Options,EP-VA-T,Endpoint Security Virtual(T),Standard Offering,Perpetual Software License,A,1,+,EP Virt Appl SW PERP LIC(T),VEPCXE-AT,VEPCXE-AT-AA,0,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,EDR
Trellix Endpoint Security,Hermes Endpoint Virtual Appliance Deployment Options,EP-DMZ-VA-T,Endpoint Security DMZ Virtual(T),Standard Offering,Perpetual Software License,A,1,+,EP DMZ Virt Appl SW PERP LIC(T),VEPDCXE-AT,VEPDCXE-ATAA,0,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,EDR
Trellix Endpoint Security,Hermes Endpoint Hardware Appliance Deployment Options,EP4600-T,EP 4600 Appliance(T),Standard Offering,Hardware, ,1,+,EP 4600 Appliance(T),EP-4600-T,EP-4600-TA,39312.84,Yes,33.000 LB,"28""X23""X8""",No,Standard,No,No,No,Yes, , , ,731944753409,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,EDR
Trellix Endpoint Security,Hermes Endpoint Hardware Appliance Deployment Options,EP4600-DMZ-T,EP 4600 DMZ Appliance(T),Standard Offering,Hardware, ,1,+,EP 4600 DMC Appliance(T),EP-4600D-T,EP-4600D-TA,39312.84,Yes,33.000 LB,"28""X23""X8""",No,Standard,No,No,No,Yes, , , ,731944753416,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,EDR
Trellix Endpoint Security,Endpoint Cloud Deploy Options,HXCL-T,HX Cloud Hosting Endpoint - Large (T),Standard Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,HX Cloud Hosting Endpt LG 1:1TE(T),HXCLGXE-AA,HXCLGXE-AAAA,43680.94,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,EDR
Trellix Endpoint Security,Endpoint Cloud Deploy Options,HXCM-T,HX Cloud Hosting Endpoint - Medium(T),Standard Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,HX Cloud Hosting Endpt MD 1:1TE(T),HXCMGXE-AA,HXCMGXE-AAAA,27284.29,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,EDR
Trellix Endpoint Security,Endpoint Cloud Deploy Options,HXGCL-T,HX Cloud Hosting Endpoint - GCP - Large (T),Standard Upgrade Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,HX Cloud Hosting Endpt GCP LG 1:1TE(T),HXGCLGXE-AA,HXGCLGXE-AA-AA,43680.94,Yes, , ,No,Standard,No,No,No,Yes,05/02/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,EDR
Trellix Endpoint Security,Endpoint Cloud Deploy Options,HXGCM-T,HX Cloud Hosting Endpoint - GCP - Medium(T),Standard Upgrade Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,HX Cloud Hosting Endpt GCP MD 1:1TE(T),HXGCMGXE-AA,HXGCMGXE-AA-AA,27284.29,Yes, , ,No,Standard,No,No,No,Yes,05/02/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,EDR
Trellix Server Security,Cloud Workload Security EDR,CWSDR,Trellix Cloud Workload Security Detect and Respond,Subscription Offering,1yr Subscription with 1yr Thrive Essential,A,1,25,Cloud Workload Security EDR 1:1TE,CWRECE-AA,CWRECE-AA-AA,1627.8,No, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,Data Center
Trellix Server Security,Cloud Workload Security EDR,CWSDR,Trellix Cloud Workload Security Detect and Respond,Subscription Offering,1yr Subscription with 1yr Thrive Essential,B,26,50,Cloud Workload Security EDR 1:1TE,CWRECE-AA,CWRECE-AA-BA,1383.64,No, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,Data Center
Trellix Server Security,Cloud Workload Security EDR,CWSDR,Trellix Cloud Workload Security Detect and Respond,Subscription Offering,1yr Subscription with 1yr Thrive Essential,C,51,100,Cloud Workload Security EDR 1:1TE,CWRECE-AA,CWRECE-AA-CA,1237.14,No, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,Data Center
Trellix Server Security,Cloud Workload Security EDR,CWSDR,Trellix Cloud Workload Security Detect and Respond,Subscription Offering,1yr Subscription with 1yr Thrive Essential,D,101,250,Cloud Workload Security EDR 1:1TE,CWRECE-AA,CWRECE-AA-DA,1106.93,No, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,Data Center
Trellix Server Security,Cloud Workload Security EDR,CWSDR,Trellix Cloud Workload Security Detect and Respond,Subscription Offering,1yr Subscription with 1yr Thrive Essential,E,251,500,Cloud Workload Security EDR 1:1TE,CWRECE-AA,CWRECE-AA-EA,1058.1,No, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,Data Center
Trellix Server Security,Cloud Workload Security EDR,CWSDR,Trellix Cloud Workload Security Detect and Respond,Subscription Offering,1yr Subscription with 1yr Thrive Essential,F,501,1000,Cloud Workload Security EDR 1:1TE,CWRECE-AA,CWRECE-AA-FA,992.97,No, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,Data Center
Trellix Server Security,Cloud Workload Security EDR,CWSDR,Trellix Cloud Workload Security Detect and Respond,Subscription Offering,1yr Subscription with 1yr Thrive Essential,G,1001,2000,Cloud Workload Security EDR 1:1TE,CWRECE-AA,CWRECE-AA-GA,927.84,No, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,Data Center
Trellix Server Security,Cloud Workload Security EDR,CWSDR,Trellix Cloud Workload Security Detect and Respond,Subscription Offering,1yr Subscription with 1yr Thrive Essential,H,2001,5000,Cloud Workload Security EDR 1:1TE,CWRECE-AA,CWRECE-AA-HA,846.46,No, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,Data Center
Trellix Server Security,Cloud Workload Security EDR,CWSDR,Trellix Cloud Workload Security Detect and Respond,Subscription Offering,1yr Subscription with 1yr Thrive Essential,I,5001,10000,Cloud Workload Security EDR 1:1TE,CWRECE-AA,CWRECE-AA-IA,797.63,No, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,Data Center
Trellix Server Security,Cloud Workload Security EDR,CWSDR,Trellix Cloud Workload Security Detect and Respond,Subscription Offering,1yr Subscription with 1yr Thrive Essential,J,10001,+,Cloud Workload Security EDR 1:1TE,CWRECE-AA,CWRECE-AA-JA,748.8,No, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,Data Center
Trellix Server Security,Cloud Workload Security EDR,CWSDRU,Trellix Cloud Workload Security Detect and Respond - Upgrade,Upgrade Subscription Offering,1yr Subscription with 1yr Thrive Essential,A,1,25,Cloud Work Security EDR UPGD 1:1TE,CWRECE-DA,CWRECE-DA-AA,1627.8,No, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,Data Center
Trellix Server Security,Cloud Workload Security EDR,CWSDRU,Trellix Cloud Workload Security Detect and Respond - Upgrade,Upgrade Subscription Offering,1yr Subscription with 1yr Thrive Essential,B,26,50,Cloud Work Security EDR UPGD 1:1TE,CWRECE-DA,CWRECE-DA-BA,1383.64,No, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,Data Center
Trellix Server Security,Cloud Workload Security EDR,CWSDRU,Trellix Cloud Workload Security Detect and Respond - Upgrade,Upgrade Subscription Offering,1yr Subscription with 1yr Thrive Essential,C,51,100,Cloud Work Security EDR UPGD 1:1TE,CWRECE-DA,CWRECE-DA-CA,1237.14,No, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,Data Center
Trellix Server Security,Cloud Workload Security EDR,CWSDRU,Trellix Cloud Workload Security Detect and Respond - Upgrade,Upgrade Subscription Offering,1yr Subscription with 1yr Thrive Essential,D,101,250,Cloud Work Security EDR UPGD 1:1TE,CWRECE-DA,CWRECE-DA-DA,1106.93,No, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,Data Center
Trellix Server Security,Cloud Workload Security EDR,CWSDRU,Trellix Cloud Workload Security Detect and Respond - Upgrade,Upgrade Subscription Offering,1yr Subscription with 1yr Thrive Essential,E,251,500,Cloud Work Security EDR UPGD 1:1TE,CWRECE-DA,CWRECE-DA-EA,1058.1,No, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,Data Center
Trellix Server Security,Cloud Workload Security EDR,CWSDRU,Trellix Cloud Workload Security Detect and Respond - Upgrade,Upgrade Subscription Offering,1yr Subscription with 1yr Thrive Essential,F,501,1000,Cloud Work Security EDR UPGD 1:1TE,CWRECE-DA,CWRECE-DA-FA,992.97,No, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,Data Center
Trellix Server Security,Cloud Workload Security EDR,CWSDRU,Trellix Cloud Workload Security Detect and Respond - Upgrade,Upgrade Subscription Offering,1yr Subscription with 1yr Thrive Essential,G,1001,2000,Cloud Work Security EDR UPGD 1:1TE,CWRECE-DA,CWRECE-DA-GA,927.84,No, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,Data Center
Trellix Server Security,Cloud Workload Security EDR,CWSDRU,Trellix Cloud Workload Security Detect and Respond - Upgrade,Upgrade Subscription Offering,1yr Subscription with 1yr Thrive Essential,H,2001,5000,Cloud Work Security EDR UPGD 1:1TE,CWRECE-DA,CWRECE-DA-HA,846.46,No, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,Data Center
Trellix Server Security,Cloud Workload Security EDR,CWSDRU,Trellix Cloud Workload Security Detect and Respond - Upgrade,Upgrade Subscription Offering,1yr Subscription with 1yr Thrive Essential,I,5001,10000,Cloud Work Security EDR UPGD 1:1TE,CWRECE-DA,CWRECE-DA-IA,797.63,No, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,Data Center
Trellix Server Security,Cloud Workload Security EDR,CWSDRU,Trellix Cloud Workload Security Detect and Respond - Upgrade,Upgrade Subscription Offering,1yr Subscription with 1yr Thrive Essential,J,10001,+,Cloud Work Security EDR UPGD 1:1TE,CWRECE-DA,CWRECE-DA-JA,748.8,No, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,Data Center
Trellix Server Security,Server Security Suites,CWSB,Trellix Cloud Workload Security - Basic,Standard Offering,ProtectPLUS Perpetual License with 1yr Thrive Essential,A,1,25,Cloud Workload Sec Basic P:1TE[P+],CWBCDE-AB,CWBCDE-AB-AA,416.35,No, , ,No,Standard,No,No,Yes,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,Data Center
Trellix Server Security,Server Security Suites,CWSB,Trellix Cloud Workload Security - Basic,Standard Offering,ProtectPLUS Perpetual License with 1yr Thrive Essential,B,26,50,Cloud Workload Sec Basic P:1TE[P+],CWBCDE-AB,CWBCDE-AB-BA,353.9,No, , ,No,Standard,No,No,Yes,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,Data Center
Trellix Server Security,Server Security Suites,CWSB,Trellix Cloud Workload Security - Basic,Standard Offering,ProtectPLUS Perpetual License with 1yr Thrive Essential,C,51,100,Cloud Workload Sec Basic P:1TE[P+],CWBCDE-AB,CWBCDE-AB-CA,316.47,No, , ,No,Standard,No,No,Yes,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,Data Center
Trellix Server Security,Server Security Suites,CWSB,Trellix Cloud Workload Security - Basic,Standard Offering,ProtectPLUS Perpetual License with 1yr Thrive Essential,D,101,250,Cloud Workload Sec Basic P:1TE[P+],CWBCDE-AB,CWBCDE-AB-DA,283.12,No, , ,No,Standard,No,No,Yes,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,Data Center
Trellix Server Security,Server Security Suites,CWSB,Trellix Cloud Workload Security - Basic,Standard Offering,ProtectPLUS Perpetual License with 1yr Thrive Essential,E,251,500,Cloud Workload Sec Basic P:1TE[P+],CWBCDE-AB,CWBCDE-AB-EA,270.63,No, , ,No,Standard,No,No,Yes,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,Data Center
