Layer1,Layer2,Layer3 STUB,Layer3 STUB Description,Layer4,Layer5,Band,Min,Max,Description,Part. No.,Channel SKU,MSRP List Price,Assurance,Packaged Weight,Packaged Size,Tiered Pric,Pricing Tier,Reseller Authorization,Tier 1 Authorization,Reorder,Export Restriction,FCS Date,EOS Date,Commission Group Description,EAN/UPC,Effective Date,Currency,Price List,Solution Competency,Product Type
Trellix Helix,Helix (SaaS),OXDRCS-2YR-50GB-ADDON,Helix Connect 2 Year Cold Storage - 50 GB,Add On Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,Helix Con Cold Stg 2Yr 50GB 1:1TE,XCS21ECE-AA,XCS21ECE-AA-AA,14415.44,Yes, , ,No,Standard,No,No,No,Yes,03/31/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,XDR
Trellix Helix,Helix (SaaS),OXDRCS-2YR-100GB-ADDON,Helix Connect 2 Year Cold Storage - 100 GB,Add On Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,Helix Con Cold Stg 2Yr 100GB 1:1TE,XCS22ECE-AA,XCS22ECE-AA-AA,28830.87,Yes, , ,No,Standard,No,No,No,Yes,03/31/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,XDR
Trellix Helix,Helix (SaaS),OXDRCS-2YR-250GB-ADDON,Helix Connect 2 Year Cold Storage - 250 GB,Add On Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,Helix Con Cold Stg 2Yr 250GB 1:1TE,XCS23ECE-AA,XCS23ECE-AA-AA,72077.16,Yes, , ,No,Standard,No,No,No,Yes,03/31/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,XDR
Trellix Helix,Helix (SaaS),OXDRCS-2YR-1TB-ADDON,Helix Connect 2 Year Cold Storage - 1 TB,Add On Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,Helix Con Cold Stg 2Yr 1TB 1:1TE,XCS24ECE-AA,XCS24ECE-AA-AA,288308.68,Yes, , ,No,Standard,No,No,No,Yes,03/31/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,XDR
Trellix Helix,Helix (SaaS),OXDRCS-3YR-50GB-ADDON,Helix Connect 3 Year Cold Storage - 50 GB,Add On Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,Helix Con Cold Stg 3Yr 50GB 1:1TE,XCS31ECE-AA,XCS31ECE-AA-AA,28830.87,Yes, , ,No,Standard,No,No,No,Yes,03/31/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,XDR
Trellix Helix,Helix (SaaS),OXDRCS-3YR-100GB-ADDON,Helix Connect 3 Year Cold Storage - 100 GB,Add On Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,Helix Con Cold Stg 3Yr 100GB 1:1TE,XCS32ECE-AA,XCS32ECE-AA-AA,57661.74,Yes, , ,No,Standard,No,No,No,Yes,03/31/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,XDR
Trellix Helix,Helix (SaaS),OXDRCS-3YR-250GB-ADDON,Helix Connect 3 Year Cold Storage - 250 GB,Add On Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,Helix Con Cold Stg 3Yr 250GB 1:1TE,XCS33ECE-AA,XCS33ECE-AA-AA,144154.34,Yes, , ,No,Standard,No,No,No,Yes,03/31/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,XDR
Trellix Helix,Helix (SaaS),OXDRCS-3YR-1TB-ADDON,Helix Connect 3 Year Cold Storage - 1 TB,Add On Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,Helix Con Cold Stg 3Yr 1TB 1:1TE,XCS34ECE-AA,XCS34ECE-AA-AA,576617.34,Yes, , ,No,Standard,No,No,No,Yes,03/31/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,XDR
Trellix Helix,Helix (SaaS),XDRQS8-50GB-ADDON,Helix Connect 8 Day Index Search Retention - 50 GB,Add On Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,Helix Con Idx Search 8d 50GB 1:1TE,XQS81ECE-AA,XQS81ECE-AA-AA,18019.29,Yes, , ,No,Standard,No,No,No,Yes,03/31/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,XDR
Trellix Helix,Helix (SaaS),XDRQS8-100GB-ADDON,Helix Connect 8 Day Index Search Retention - 100 GB,Add On Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,Helix Con Idx Search 8d 100GB 1:1TE,XQS82ECE-AA,XQS82ECE-AA-AA,36038.58,Yes, , ,No,Standard,No,No,No,Yes,03/31/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,XDR
Trellix Helix,Helix (SaaS),XDRQS8-250GB-ADDON,Helix Connect 8 Day Index Search Retention - 250 GB,Add On Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,Helix Con Idx Search 8d 250GB 1:1TE,XQS83ECE-AA,XQS83ECE-AA-AA,90096.47,Yes, , ,No,Standard,No,No,No,Yes,03/31/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,XDR
Trellix Helix,Helix (SaaS),XDRQS8-1TB-ADDON,Helix Connect 8 Day Index Search Retention - 1 TB,Add On Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,Helix Con Idx Search 8d 1TB 1:1TE,XQS84ECE-AA,XQS84ECE-AA-AA,360385.84,Yes, , ,No,Standard,No,No,No,Yes,03/31/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,XDR
Trellix Helix,Helix (SaaS),XDRQS16-50GB-ADDON,Helix Connect 16 Day Index Search Retention - 50 GB,Add On Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,Helix Con Idx Search 16d 50GB 1:1TE,XQS161ECE-AA,XQS161ECE-AA-AA,36038.58,Yes, , ,No,Standard,No,No,No,Yes,03/31/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,XDR
Trellix Helix,Helix (SaaS),XDRQS16-100GB-ADDON,Helix Connect 16 Day Index Search Retention - 100 GB,Add On Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,Helix Con Idx Search 16d 100GB 1:1TE,XQS162ECE-AA,XQS162ECE-AA-AA,72077.16,Yes, , ,No,Standard,No,No,No,Yes,03/31/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,XDR
Trellix Helix,Helix (SaaS),XDRQS16-250GB-ADDON,Helix Connect 16 Day Index Search Retention - 250 GB,Add On Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,Helix Con Idx Search 16d 250GB 1:1TE,XQS163ECE-AA,XQS163ECE-AA-AA,180192.92,Yes, , ,No,Standard,No,No,No,Yes,03/31/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,XDR
Trellix Helix,Helix (SaaS),XDRQS16-1TB-ADDON,Helix Connect 16 Day Index Search Retention - 1 TB,Add On Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,Helix Con Idx Search 16d 1TB 1:1TE,XQS164ECE-AA,XQS164ECE-AA-AA,720771.68,Yes, , ,No,Standard,No,No,No,Yes,03/31/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,XDR
Trellix Helix,Helix (SaaS),XDR-FS-T,XDR Federated Search across Cloud Instances (T),Standard Offering,Federated Platform,A,1,+,XDR Federated Search (T),XDR-FS-T,XDR-FS-T,0,Yes, , ,No,Standard,No,No,No,Yes,03/31/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK, ,XDR
Trellix Helix,Helix (On-Prem),TAR-T,Trellix Automated Response (TAuR) or Automated Response(T),Standard Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,Trellix Automated Response 1:1TE(T),TARECE-AA,TARECE-AA-AA,224917.11,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Security Management,XDR
Trellix Helix,Helix (On-Prem),NW-EC-VA-T,Network Evidence Collector - Virtual Appliance Add-on for Helix Connect (T),Standard Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,NW Evidence Collector Virt Appl 1:1TE(T),VNWECGXE-AT,VNWECGXE-AT-AA,0,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Security Management,XDR
Trellix Helix,Helix (On-Prem),NW-EC-VA-DTI-T,Network Evidence Collector - Virtual Appliance for Helix Connect - DTI(T),2 Way Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,NW EC Virt Appl DTI 2W 1:1TE(T),VNWECD2WECEAT,VNWECD2WECEAT-AA,0,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,XDR
Trellix Email Security,Email Security,EMCL,Email Security Cloud Edition,Subscription Offering,1yr Subscription with 1yr Thrive Essential,A,100,250,Email Sec Cld Ed 1:1TE,EMCLECE-AA,EMCLECE-AAAA,107.87,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,Email Security Cloud
