Band,Range,Description,PartNo,MSRP List Price,Standard Channel SKU,Unnamed: 6
OXDR-1TB-ADDON,"Helix Connect Open XDR for External Data Add-on - 1 TB
LICENSE: Units of Storage Per Day
DELIVERABLE: Software as a Service (SaaS) with activation email.
CONTENT: Extends Helix Connect's capabilities to allow ingestion of events beyond the per user entitlement. Units of storage calculation determines amount of event ingestion allowed per day. Incidents created from events, such as alerts and their corresponding events to the incidents, are kept for 13 months.​
RESTRICTIONS: Must already own the Helix Connect offering. For further exceptions, please refer to the quoting handbook.",,,,,
,Add On Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-+,Helix ConOpn XDR Ext Dta 1TB AddOn 1:1TE,OX4ECE-AA,791812.74,OX4ECE-AA-AA,
OXDR-50GB-10M-ADDON,"Helix Connect XDR Retention 10 Months Add-On - 50 GB
LICENSE: Units of Storage Per Day
DELIVERABLE: Software as a Service (SaaS) with activation email
CONTENT: Extends Helix Connect's data retention from 3 months to 13 months.You must have the corresponding OXDR-50GB-ADDON subscription (that includes 90 days) for this 10 month add-on, which provides a full 13 months in total.
FEATURES INCLUDED: 13 month retention of customer logs.
RESTRICTIONS: Must already own the Trellix OXDR-50GB-ADDON offering. For further exceptions, please refer to the quoting handbook.",,,,,
,Add On Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-+,Helix Connect XDR Ret 50GB AddOn 1:1TE,XM1ECE-AA,134144.62,XM1ECE-AA-AA,
OXDR-100GB-10M-ADDON,"Helix Connect XDR Retention 10 Months Add-On - 100 GB
LICENSE: Units of Storage Per Day
DELIVERABLE: Software as a Service (SaaS) with activation email
CONTENT: Extends Helix Connect's data retention from 3 months to 13 months.You must have the corresponding OXDR-100GB-ADDON subscription (that includes 90 days) for this 10 month add-on, which provides a full 13 months in total.
FEATURES INCLUDED: 13 month retention of customer logs.
RESTRICTIONS: Must already own the Trellix OXDR-100GB-ADDON offering. For further exceptions, please refer to the quoting handbook.",,,,,
,Add On Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
